Id,C_Dealer,C_Freight,C_Volume,C_BaseBoat,C_Engine,C_Series,C_Options,C_Prep,C_DealerName,C_DealerId,C_Enabled
343f4eba-3ad6-439a-aea7-b2c300fd8397,fe947439-aad8-44aa-a60a-b24901542c8a,1000,37,37,37,L,37,1000,DO NOT USE SEALAND MARINE (COLUMBUS,14001,false
0a91dc17-bce0-4434-844b-b2c300fd8398,81d8a994-1dc4-4e78-b5ea-b24901542cab,1000,37,37,37,L,37,1000,BROTHERS BOATS,140081,false
80e5ced7-b2bb-4a4a-a684-b2c300fd8398,cfc97d69-5a39-47ae-92b4-b24901542ce2,1000,37,37,37,L,37,1000,BROTHERS BOATS,140080,false
6bb34caf-853d-4332-b0ae-b2c300fd8398,5e4f9b2b-9472-4350-80f7-b24901542d03,1000,37,37,37,L,37,1000,DO NOT USE SEALAND MARINE (NORTH BEN,14004,false
a8f4b768-43a8-4840-83b7-b2c300fd8399,4a7fe064-f194-4b64-a024-b24901542d42,1000,37,37,37,L,37,1000,AQUA MARINE SALES AND SERVICE,14500,false
eb230aa9-d6e8-471e-a9e3-b2c300fd8399,60501819-91e4-4133-9924-b24901542d92,1000,37,37,37,L,37,1000,ARIZONA DISCOUNT MARINE   (PHOENIX),14999,false
fb0685cd-4dd4-4f4f-b332-b2c300fd839a,e70ebe74-088d-4b7c-9a71-b249015466f2,1000,37,37,37,L,37,1000,GENE'S MARINE,155420,false
7dab397e-d361-4def-bd25-b2c300fd839a,7452c76b-47d8-475e-b990-b24901546692,1000,37,37,37,L,37,1000,Gab Robins North Ameica,151850,false
cf5f3b9b-64af-4cc2-9e7a-b2c300fd839b,4f8ccaea-cbb5-4fc4-b9e9-b2490154674d,1000,37,37,37,L,37,1000,ARIZONA DISCOUNT MARINE  (TEMPE),15000,false
2d18aa67-1d31-4f92-b137-b2c300fd839b,358c82fb-465f-472a-90c3-b2490154671e,1000,37,37,37,L,37,1000,ARIZONA DISCOUNT MARINE  (TUCSON),15001,false
8a9469c5-42b4-439f-ae80-b2c300fd839f,41a8422f-95b5-47d1-ac0e-b24901546796,1000,37,37,37,L,37,1000,GAUCH BROS MARINE & SALES,151852,false
4f04ff51-8abc-48fc-8b87-b2c300fd83a0,b45c2590-48e1-460d-9eaa-b249015467ed,1000,37,37,37,L,37,1000,GLEN LAKE MARINE,161816,false
101fb1f0-4a8d-49c3-9628-b2c300fd83a0,a8f88e64-8b75-4352-b56a-b24901546848,1000,37,37,37,L,37,1000,TROPICAL MARINE,155600,false
a57881c9-e666-4b45-b27d-b2c300fd83a0,b6e55f83-0d37-4d55-846c-b249015468cf,1000,37,37,37,L,37,1000,CHARLESTON MARINE INC,160570,false
d63dc88c-137a-4ec3-ae1f-b2c300fd83a1,92bd4e36-7a98-4f93-a83c-b249015469ab,1000,37,37,37,L,37,1000,"GLOBAL MARINE GROUP, INC.",162000,false
ad2af3f2-f846-473c-b6ab-b2c300fd83a1,47a0ea7d-dd6e-4a34-9562-b24901546949,1000,37,37,37,L,37,1000,GIBBS MARINE INC,158768,false
6984907c-2a04-461a-954a-b2c300fd83a2,3a246c47-6a64-4b50-a5f3-b24901546a4a,1000,37,37,37,L,37,1000,"GOLD COAST BOAT WORKS, LLC",165500,false
eab3208d-c2af-40b0-a526-b2c300fd83a2,b469b940-d072-4d57-80d7-b24901546acd,1000,37,37,37,L,37,1000,**DO NOT USE GORDON'S MARINE USE #301759,165176,false
63a0c86a-bf3c-4901-8555-b2c300fd83a3,110baab1-973d-4ce4-8e6d-b24901546b42,1000,37,37,37,L,37,1000,GREATER CANDLEWOOD REC OPP INC(NEW MILFO,166651,false
c7530ae0-cbd7-4e05-a9ba-b2c300fd83a3,be6ea979-78f9-4f6b-9efe-b24901546ba6,1000,37,37,37,L,37,1000,ARKANSAS BOATING CENTER,16805,false
7c7034b4-ea76-41de-9271-b2c300fd83a4,a41b32cf-8fae-4a99-8d92-b24901546be1,1000,37,37,37,L,37,1000,BROOKFIELD BAY MARINA & YACHT CLUB,166650,false
f199ce1a-3af2-4346-9cf9-b2c300fd83a4,0ebefa93-bfec-4578-9108-b24901546c80,1000,37,37,37,L,37,1000,ARKANSAS BOATING CENTER ** USE 16805 **,16804,false
0936a862-77fb-4700-a571-b2c300fd83a4,64e81701-e325-47e9-9001-b24901546c16,1000,37,37,37,L,37,1000,"GREVE CONSTRUCTION, INC.",168500,false
b820790e-91be-4e62-aa76-b2c300fd83aa,4f521c0e-fa79-4804-aefa-b24901546ce8,1000,37,37,37,L,37,1000,ARKANSAS MARINE,16825,false
757bee2c-538e-4bbe-8e5c-b2c300fd83ac,545d960a-3bcf-4d03-b259-b24901546dc9,1000,37,37,37,L,37,1000,"HALLS SPORT CENTER, LLC (STANDALE STORE)",176401,false
