Id,C_Dealer,C_Freight,C_Volume,C_BaseBoat,C_Engine,C_Series,C_Options,C_Prep,C_DealerName,C_DealerId,C_Enabled
95f14e02-1425-4d97-942c-b2c300fd87f1,2840019f-70d8-4eb3-a142-b249017344ad,1000,37.0,37.0,37.0,M,37.0,1000,CAREFREE BOAT CLUB OF PANAMA,52215.0,False
84daf3cd-1337-4d20-a92b-b2c300fd87f1,f09a3cf6-69dd-4c13-9660-b24901734485,1000,37.0,37.0,37.0,M,37.0,1000,CAREFREE BOAT CLUB OF WISCONSIN,52170.0,False
f8d784b0-27e2-4225-a550-b2c300fd87f2,9e6ae500-67f5-4e29-b1f0-b249017344d0,1000,37.0,37.0,37.0,M,37.0,1000,CAREFREE BOAT CLUB - LOS ANGELES,52190.0,False
8e6d88fb-9e68-48d8-a8e5-b2c300fd87f3,894ba9fb-c094-4033-8cfe-b249017344f2,1000,37.0,37.0,37.0,M,37.0,1000,CAREFREE BOAT CLUB - LAKE SIMCOE,52180.0,False
bd3bffb2-6881-4e34-b995-b2c300fd87f4,bffa33b3-b1c0-4e8a-a31e-b24901734516,1000,37.0,37.0,37.0,M,37.0,1000,CAREFREE BOAT CLUB - KNOXVILLE,52175.0,False
86662af2-2091-462d-a2d4-b2c300fd87f9,c084594d-5cf7-4934-ab28-b24901734542,1000,37.0,37.0,37.0,M,37.0,1000,CAREFREE BOAT CLUB - NEW BUFFALO,52200.0,False
cc2e0ad2-bb6a-4493-8c19-b2c300fd87fa,4d1ce7e3-5ace-433a-b5b1-b2490173458c,1000,37.0,37.0,37.0,M,37.0,1000,CAREFREE BOAT CLUB OF MAINE,52195.0,False
7317062b-3e14-41ba-b1e6-b2c300fd87fa,0536d14a-a8cb-44b7-9b15-b2490173456a,1000,37.0,37.0,37.0,M,37.0,1000,CAREFREE BOAT CLUB OF NORTHERN CALIFORNIA,52210.0,False
cb70ac64-c8fc-436f-9745-b2c300fd87fb,b7fdd717-e109-4f4c-bfae-b249017345dd,1000,37.0,37.0,37.0,M,37.0,1000,CAREFREE BOAT CLUB LAKE TILLERY,52185.0,False
36c5f26f-cba4-4579-ac1a-b2c300fd87fb,59701071-bf19-4877-bd94-b249017345b9,1000,37.0,37.0,37.0,M,37.0,1000,CAREFREE BOAT CLUB -  NORTH IDAHO,52205.0,False
5322af85-1eb4-4383-8f0a-b2c300fd87fc,d0911d5f-702e-4c1a-a1fa-b24901734652,1000,37.0,37.0,37.0,M,37.0,1000,CAREFREE BOAT CLUB OF ST AUGUSTINE,52245.0,False
d6fad711-31d6-4cde-a50f-b2c300fd87fc,b9b77d31-015e-4399-940d-b24901734612,1000,37.0,37.0,37.0,M,37.0,1000,CAREFREE BOAT CLUB OF SOUTHERN CONNECTICUT,52235.0,False
a12da671-e605-4e71-bd24-b2c300fd87fc,3687b78f-267b-476f-8c88-b24901734688,1000,37.0,37.0,37.0,M,37.0,1000,CAREFREE BOAT CLUB OF SEATTLE,52230.0,False
b0cfd24a-bbc5-42f8-88a5-b2c300fd87fd,9b7da1f4-e835-418d-b484-b249017346e6,0.0,10.0,37.0,37.0,M,37.0,0.0,VERENIA EOS TEST MARINA,529900.0,False
197e91a1-66fa-4c04-9f2f-b2c300fd87fd,c86bb88d-1499-44fa-acbd-b249017346ba,1000,37.0,37.0,37.0,M,37.0,1000,CAREFREE BOAT CLUB OF TENNESSEE,52260.0,False
9a9f92b8-6ec4-46c1-9147-b2c300fd87fe,18c02b03-adc6-419b-a260-b24901734777,1000,37.0,37.0,37.0,M,37.0,1000,CAREFREE BOAT CLUB - PORT ORANGE,52220.0,False
405adfc9-1133-4fe7-a474-b2c300fd87fe,a01893cf-f9fa-4d06-89eb-b24901734744,1000,37.0,37.0,37.0,M,37.0,1000,CAREFREE BOAT CLUB - WAXHAW,52295.0,False
aed6f420-2345-4d81-b2fe-b2c300fd87fe,3870e927-7c38-422a-9940-b2490173471d,1000,37.0,37.0,37.0,M,37.0,1000,CAREFREE BOAT CLUB OF CHANNEL ISLAND HARBOR,52280.0,False
