model_id,series,parent_series,msrp,floorplan,floorplan_desc,length,seats,visible
27QFBWAT2,Q,Q,119785,FBWAT2,Fastback with Windshield and Arch,27,15,True
28QXFBWAX1U,QX,Q,124042,FBWAX1,10' Wide Fastback with Windshield and Arch,28,18,True
188SF,S,S,20514,F,Fishing,18,11,True
27RSBX2,R,R,106356,SBX2,Swingback,27,19,True
28QXSBA,QX,Q,143363,SBA,Swingback with Arch,28,16,True
20SSBU,S,S,26820,SB,Swingback,20,14,True
23LTSB,LT,L,53545,SB,Swingback,23,13,True
25LTSB,LT,L,55608,SB,Swingback,25,16,True
26ML,M,M,999999,L,L-Bench,26,19,True
23MFC,M,M,999999,FC,Fish & Cruse,23,12,True
21SFC,S,S,26669,FC,Fish & Cruse,21,15,True
22LXSSB,LXS,L,45744,SB,Swingback,22,13,True
23SSR,S,S,28210,SR,Quad Bench Stern Radius,23,15,True
21SL,S,S,23229,L,L-Bench,21,14,True
28QXSBWAX1,QX,Q,147009,SBWAX1,10' Wide Swingback with Windshield and Arch,28,14,True
23LXSFB,LXS,L,48298,FB,Fastback,23,13,True
25RSBA,R,R,68366,SBA,Swingback with Arch,25,15,True
27RFBWAT2,R,R,94811,FBWAT2,Fastback with Windshield and Arch,27,17,True
24MFB,M,M,999999,FB,Fastback,24,14,True
23RSR,R,R,61935,SR,Quad Bench Stern Radius,23,15,True
20S1L,S1,S,22579,L,L-Bench,20,13,True
23S1SB,S1,S,29975,SB,Swingback,23,14,True
23S1SR,S1,S,28210,SR,Quad Bench Stern Radius,23,15,True
23RXFBU,RX,R,73715,FB,Fastback,23,15,True
26MFB,M,M,999999,FB,Fastback,26,16,True
25LTFB,LT,L,54025,FB,Fastback,25,16,True
27QXFBAX2,QX,Q,107237,FBAX2,10' Wide Fastback with Arch,27,16,True
188SLJ,S,S,21656,LJ,J-Bench,18,13,True
25RXSBWAU,RX,R,85948,SBWA,Swingback with Windshield and Arch,25,17,True
25QSBW,Q,Q,80423,SBW,Swingback with Windshield,25,17,True
25QXFBU,QX,Q,103726,FB,Fastback,25,15,True
25QFBA,Q,Q,78640,FBA,Fastback with Arch,25,16,True
28QXFB,QX,Q,105749,FB,Fastback,28,17,True
25QXFBX1,QX,Q,97977,FBX1,10' Wide Fastback,25,18,True
